term,definition,source,page
Adbhuta,Wonderful.,Glossary_Sanskrit_Terms.pdf,5
Adhama,Low; degraded.,Glossary_Sanskrit_Terms.pdf,5
Adhama uddharaka,Uplifter of the down-trodden.,Glossary_Sanskrit_Terms.pdf,5
Adharma,All that is contrary to the right and the law; demerit.,Glossary_Sanskrit_Terms.pdf,5
Adarsa,Ideal.,Glossary_Sanskrit_Terms.pdf,5
Adarsa-purusha,A person whom you can take as an ideal; an exemplary person.,Glossary_Sanskrit_Terms.pdf,5
Adesa,A divine command from within the being.,Glossary_Sanskrit_Terms.pdf,5
Adhara,"Support; basis; Brahman; also, the system corn posed of the five principles constituting the physical, vital, mental, intellectual and the blissful sheaths; receptacle; that which supports.",Glossary_Sanskrit_Terms.pdf,5
Adhara-adheya-sambandha,Relation of the support and the thing supported; relation of location and the thing located; relation of abode and abiding.,Glossary_Sanskrit_Terms.pdf,5
Adhi,Disease of the mind.,Glossary_Sanskrit_Terms.pdf,5
Adhibhautika,Elemental.,Glossary_Sanskrit_Terms.pdf,5
Adhibhautika sarira,Body composed of elements.,Glossary_Sanskrit_Terms.pdf,5
Adhibhautika Taapa,"Pain caused by the Bhutas, as scorpion-sting, snake-bite, etc.; nature-extrinsic suffering.",Glossary_Sanskrit_Terms.pdf,5
Adhibhuta,Pertaining to the elements; the primordial form of matter.,Glossary_Sanskrit_Terms.pdf,6
Adhibhuta-vidya,Science of the physical or material world.,Glossary_Sanskrit_Terms.pdf,6
Adhidaiva-vidya,Science of the heavens.,Glossary_Sanskrit_Terms.pdf,6
Adhidaivika,Pertaining to the heaven or the celestial beings.,Glossary_Sanskrit_Terms.pdf,6
Adhidaivika Taapa,"Pain caused by gods or the heavens as thunder, rain, flood, etc.",Glossary_Sanskrit_Terms.pdf,6
Adhika,Additional.,Glossary_Sanskrit_Terms.pdf,6
Adhikarana,Section; topic; substratum; receptacle.,Glossary_Sanskrit_Terms.pdf,6
Adhikari,Qualified person.,Glossary_Sanskrit_Terms.pdf,6
Adhikari-vada,The doctrine upholding the necessity of prescribing a distinct course of discipline for each spiritual aspirant according to his capacity.,Glossary_Sanskrit_Terms.pdf,6
Adhimatra (Vairagya),Degree of Vairagya when worldly enjoyment even becomes a source of pain.,Glossary_Sanskrit_Terms.pdf,6
Adhipatipratyaya,The defining cause.,Glossary_Sanskrit_Terms.pdf,6
Adhishthana,Background; support; basis; substratum; repository (Brahman); underlying truth or essence.,Glossary_Sanskrit_Terms.pdf,6
Adhishthatri Devata,Presiding divinity.,Glossary_Sanskrit_Terms.pdf,6
Adhiyajna,Pertaining to the sacrifice.,Glossary_Sanskrit_Terms.pdf,6
Adhokshaja,A being who cannot be perceived by the outer senses; a name of Bhagavan Narayana.,Glossary_Sanskrit_Terms.pdf,6
Adhvaryu,"A priest who recites the Yajur-veda in a sacrifice. (Yajur-veda is one of the four Vedas or source- scriptures of Hinduism. The others are Rig-veda, Sama- veda and Atharvana-veda.)",Glossary_Sanskrit_Terms.pdf,6
Adhyaksha,Agent; supervisor.,Glossary_Sanskrit_Terms.pdf,6
Adhyatmika,Pertaining to the Atman.,Glossary_Sanskrit_Terms.pdf,6
Adhyatmika Vidya,Science of Self.,Glossary_Sanskrit_Terms.pdf,7
Adhyaropa,Illusory attribution; superimposition; false attribution; one thing is mistaken for another; qualities of one are transferred to another; qualities of the Self arf transferred to the body.,Glossary_Sanskrit_Terms.pdf,7
Adhyaropita,Fictitiously ascribed.,Glossary_Sanskrit_Terms.pdf,7
Adhyasa,Superimposition or reflection of the attributes of one thing on another thing.,Glossary_Sanskrit_Terms.pdf,7
Adhyasta,Falsely-cognised thing.,Glossary_Sanskrit_Terms.pdf,7
Adhyasta astitva,Reflected existence.,Glossary_Sanskrit_Terms.pdf,7
Adhyatma Sastra,Spiritual science.,Glossary_Sanskrit_Terms.pdf,7
Adhyatma Vidya,Science of the Self.,Glossary_Sanskrit_Terms.pdf,7
Adhyatmavit,Knower of the Inner Self,Glossary_Sanskrit_Terms.pdf,7
Adhyavasaya,The determining function of the Buddhi or the intellect.,Glossary_Sanskrit_Terms.pdf,7
Adi-tattva,The first principle; Brahman; Mula Prakriti; the first element (of matter) next but one above Akasa in the gradation of subtlety.,Glossary_Sanskrit_Terms.pdf,7
Aditya,Sun-god; Sun; a class of celestial beings.,Glossary_Sanskrit_Terms.pdf,7
Adrishta,The unseen principle.,Glossary_Sanskrit_Terms.pdf,7
Adrishtam,Unperceived.,Glossary_Sanskrit_Terms.pdf,7
Adrisya,That which cannot be perceived by the physical eye (Brahman).,Glossary_Sanskrit_Terms.pdf,7
Advaita,Non-duality; monism.,Glossary_Sanskrit_Terms.pdf,7
Advaita-avastharupa-samadhi,"Nirvikalpa Samadhi of Advaitins where there is no Brahmakara Vritti. [This is the highest superconscious state in which there is no triad (knowledge, knower and known), but One alone exists in Its own state.]",Glossary_Sanskrit_Terms.pdf,7
Advaita nishtha,Establishment in the state of non-duality.,Glossary_Sanskrit_Terms.pdf,7
Advaita-siddhi,Realisation of the non-dual Brahman or Oneness.,Glossary_Sanskrit_Terms.pdf,8
Advaita vada,The theory that Brahman is the only existence; monism; Vedanta.,Glossary_Sanskrit_Terms.pdf,8
Advaita Vedanta,Non-dualistic philosophy (of Sri Sankara.),Glossary_Sanskrit_Terms.pdf,8
Advitiya,Without a second.,Glossary_Sanskrit_Terms.pdf,8
Advitiyata,State of being secondless.,Glossary_Sanskrit_Terms.pdf,8
Adya,Primordial; original.,Glossary_Sanskrit_Terms.pdf,8
Adyasakti,Primordial power; Avyaktam or Mula Prakriti.,Glossary_Sanskrit_Terms.pdf,8
Agadha,Unfathomable.,Glossary_Sanskrit_Terms.pdf,8
Agama,The Veda; manual of practical worship.,Glossary_Sanskrit_Terms.pdf,8
Agama pramana,The Veda as proof.,Glossary_Sanskrit_Terms.pdf,8
Agami (Karma),"Karma now produced, to be enjoyed after. Agandha: Smell-less, odourless.",Glossary_Sanskrit_Terms.pdf,8
Agati,Stability.,Glossary_Sanskrit_Terms.pdf,8
Aghamarshana,"Some Vedic verses, the utterance of which, when bathing, purifies man; that which purifies.",Glossary_Sanskrit_Terms.pdf,8
Agni,Fire.,Glossary_Sanskrit_Terms.pdf,8
Agni astra,Fire missile.,Glossary_Sanskrit_Terms.pdf,8
Agni-hotra,A fire offering.,Glossary_Sanskrit_Terms.pdf,8
Agni-manavaka,"Shining lad. [This illustrates Gauna Vritti or secondary sense. It literally means a lad who is fire itself. Instead of that, we should take the Guna (or quality) of fire and mean by that word a lad shining like fire.]",Glossary_Sanskrit_Terms.pdf,8
Agnistut,He who sings the praises of Agni (in Vedic sacrifice).,Glossary_Sanskrit_Terms.pdf,8
Agni-tattva,The fire-principle.,Glossary_Sanskrit_Terms.pdf,8
Agni-vidya,"The process of meditating, taking fire as symbolising Brahman.",Glossary_Sanskrit_Terms.pdf,8
Agrahya,Unfit to be taken; that which cannot be grasped.,Glossary_Sanskrit_Terms.pdf,9
Aguna,Without Guna or quality.,Glossary_Sanskrit_Terms.pdf,9
Ahaituka,Motiveless; without purpose.,Glossary_Sanskrit_Terms.pdf,9
Aham,I; the ego.,Glossary_Sanskrit_Terms.pdf,9
Aham Atma,I am the Atman.,Glossary_Sanskrit_Terms.pdf,9
Aham Brahmasmi,I am Brahman.,Glossary_Sanskrit_Terms.pdf,9
Aham duhkhi,I am miserable.,Glossary_Sanskrit_Terms.pdf,9
Aham etat na,I am not this.,Glossary_Sanskrit_Terms.pdf,9
Aham idam,I (and) this.,Glossary_Sanskrit_Terms.pdf,9
Aham karta,I am the doer.,Glossary_Sanskrit_Terms.pdf,9
Aham pratyaya,‘I’-feeling; self-consciousness.,Glossary_Sanskrit_Terms.pdf,9
Aham sukhi,I am happy.,Glossary_Sanskrit_Terms.pdf,9
Aham vritti,Self-arrogating thought.,Glossary_Sanskrit_Terms.pdf,9
Ahameva sarvah,I alone am all.,Glossary_Sanskrit_Terms.pdf,9
Ahamgraha Upasana,A kind of meditation in which the aspirant identifies himself with Brahman or the Supreme Being. This is the Vedantic form of worship.,Glossary_Sanskrit_Terms.pdf,9
Ahamika,Egotism; pride.,Glossary_Sanskrit_Terms.pdf,9
Ahamkara,"Egoism or self-conceit; the self-arrogating principle ‘I’, ‘I am’-ness; self-consciousness. Rajasika",Glossary_Sanskrit_Terms.pdf,9
ahamkara,Dynamic egoism with passion and pride.,Glossary_Sanskrit_Terms.pdf,9
Sattvika ahamkara,Egoism composed in the sense of goodness and virtue. Tamasika ahamkara: Egoism as expressed in ignorance and inertia.,Glossary_Sanskrit_Terms.pdf,9
Ahamkara-avacchinna-chaitanya,"Intelligence associated with egoism which is the migrating soul, Jivatman.",Glossary_Sanskrit_Terms.pdf,9
Ahamkara-tyaga,Renunciation of egoism.,Glossary_Sanskrit_Terms.pdf,9
Ahamta,I-ness.,Glossary_Sanskrit_Terms.pdf,9
Ahara,Food; object of senses; anything taken in by senses.,Glossary_Sanskrit_Terms.pdf,9
Ahavaniya,One of the three consecrated fires which,Glossary_Sanskrit_Terms.pdf,9
Ahimsa,"Non-injury in thought, word and deed.",Glossary_Sanskrit_Terms.pdf,10
Ahuti,Oblation (poured into the fire in sacrifices).,Glossary_Sanskrit_Terms.pdf,10
Aisvarya,Material or spiritual wealth.,Glossary_Sanskrit_Terms.pdf,10
Aitihya,Rumour; one of the eight proofs of knowledge.,Glossary_Sanskrit_Terms.pdf,10
Aja,Unborn.,Glossary_Sanskrit_Terms.pdf,10
Ajahallakshana,"Not abandoned but amplified, e.g., “A red is running”, where we have to add the word “horse”, for redness being a quality, cannot run.",Glossary_Sanskrit_Terms.pdf,10
Ajapa,"The Mantra “Soham” (I am He) which is produced by the breath itself, without any conscious effort at",Glossary_Sanskrit_Terms.pdf,10
repeating it,the inhalation sounding ‘So’ and the exhalation ‘ham’.,Glossary_Sanskrit_Terms.pdf,10
Ajapa-gayatri,Hamsah-soham Mantra.,Glossary_Sanskrit_Terms.pdf,10
Ajapa-japa,Japa of “Soham” Mantra.,Glossary_Sanskrit_Terms.pdf,10
Ajara,Without old age.,Glossary_Sanskrit_Terms.pdf,10
Ajati vada,The theory of non-evolution.,Glossary_Sanskrit_Terms.pdf,10
Ajita,The unvanquished; one of the epithets of Lord Vishnu.,Glossary_Sanskrit_Terms.pdf,10
Ajna-chakra,"The sixth lotus of the Yogis, opposite the junction of the eye-brows; this is the seat of the mind; has two ‘petals’.",Glossary_Sanskrit_Terms.pdf,10
Ajnana,Ignorance.,Glossary_Sanskrit_Terms.pdf,10
Ajnana-avrita-ananda,Ananda or Bliss enveloped by ignorance; the bliss that you get in deep sleep.,Glossary_Sanskrit_Terms.pdf,10
Akanksha,Desire (all round).,Glossary_Sanskrit_Terms.pdf,10
Akara,The first letter or the most fundamental sound which is represented by the first letter of the alphabet.,Glossary_Sanskrit_Terms.pdf,10
Akarma,Inaction.,Glossary_Sanskrit_Terms.pdf,10
Akarshana Sakti,Power of attraction.,Glossary_Sanskrit_Terms.pdf,10
Akarta,Non-doer.,Glossary_Sanskrit_Terms.pdf,11
Akartavya,That which should not be done.,Glossary_Sanskrit_Terms.pdf,11
Akarya,What ought not to be done.,Glossary_Sanskrit_Terms.pdf,11
Akasa Mandala,Region of ether.,Glossary_Sanskrit_Terms.pdf,11
Akasa Nila,Blueness of the sky.,Glossary_Sanskrit_Terms.pdf,11
Akasa Tattva,The ether-principle.,Glossary_Sanskrit_Terms.pdf,11
Akasa,Ether.,Glossary_Sanskrit_Terms.pdf,11
Akasaja,Born of Akasa (ether).,Glossary_Sanskrit_Terms.pdf,11
Akasamatra,Ether only.,Glossary_Sanskrit_Terms.pdf,11
Akasavani,Ethereal voice; heavenly voice.,Glossary_Sanskrit_Terms.pdf,11
Akasmika,Without a why; causeless.,Glossary_Sanskrit_Terms.pdf,11
Akhanda,Indivisible.,Glossary_Sanskrit_Terms.pdf,11
Akhanda-ananda,Unbroken Bliss.,Glossary_Sanskrit_Terms.pdf,11
Akhanda-brahmacharya,Unbroken celibacy.,Glossary_Sanskrit_Terms.pdf,11
Akhandaikarasa,The one undivided Essence.,Glossary_Sanskrit_Terms.pdf,11
Akhandaikarasa-vritti,The pure homogeneous Brahmakara Vritti that is produced by meditating on Brahman.,Glossary_Sanskrit_Terms.pdf,11
Akhandakara,Of the nature of indivisibility.,Glossary_Sanskrit_Terms.pdf,11
Akhanda-mauna,Unbroken silence.,Glossary_Sanskrit_Terms.pdf,11
Akhanda-samadhi,Unbroken Samadhi.,Glossary_Sanskrit_Terms.pdf,11
Akhyana,Narrative; a variety of mythological narratives.,Glossary_Sanskrit_Terms.pdf,11
Akrishna,Not black; white or pure.,Glossary_Sanskrit_Terms.pdf,11
Akritabhigama,Occurrence of fruits of actions that are not done.,Glossary_Sanskrit_Terms.pdf,11
Akrodha,Absence of anger.,Glossary_Sanskrit_Terms.pdf,11
Akshara vidya,The Imperishable knowledge-process of meditation on Brahman.,Glossary_Sanskrit_Terms.pdf,11
Akshara,Syllable; imperishable Brahman; that which never,Glossary_Sanskrit_Terms.pdf,11
Akshara-suddhi,Clear pronunciation of the letters of the Mantras.,Glossary_Sanskrit_Terms.pdf,12
Aksharatma,Imperishable Self.,Glossary_Sanskrit_Terms.pdf,12
Aksharat-paratah-parah,Purusha greater than Akshara.,Glossary_Sanskrit_Terms.pdf,12
Akshaya,Everlasting; undecaying.,Glossary_Sanskrit_Terms.pdf,12
Akshobha,Emotionless; undisturbed; absence of agitation.,Glossary_Sanskrit_Terms.pdf,12
Akshobhya,Emotionless (being undisturbed by emotion).,Glossary_Sanskrit_Terms.pdf,12
Akunchana,Contraction.,Glossary_Sanskrit_Terms.pdf,12
Alakshana,Without distinctive marks.,Glossary_Sanskrit_Terms.pdf,12
Alambana pratyaya,Primal idea or the base cause.,Glossary_Sanskrit_Terms.pdf,12
Alambana,Support.,Glossary_Sanskrit_Terms.pdf,12
Alata chakra,"A stick burning at one end, when waved round quickly, produces an illusion of a circle of fire.",Glossary_Sanskrit_Terms.pdf,12
Alaya vijnana,Internal cognition; the Supreme State according to the Yogacharas.,Glossary_Sanskrit_Terms.pdf,12
Alaya vijnana pravaha,Train of self-cogntion.,Glossary_Sanskrit_Terms.pdf,12
Alinga,Without mark; noumenal.,Glossary_Sanskrit_Terms.pdf,12
Alochana,Deep thinking; attention; consideration; reflection.,Glossary_Sanskrit_Terms.pdf,12
Alpa,Small.,Glossary_Sanskrit_Terms.pdf,12
Amala,Without impurity.,Glossary_Sanskrit_Terms.pdf,12
Amalaka,Embelica myrobalan.,Glossary_Sanskrit_Terms.pdf,12
Amalam,"Free from Maya; free from the impurity of Maya. Amana, Amanaska: Mindless.",Glossary_Sanskrit_Terms.pdf,12
Amanahstha,One who has reached mindlessness.,Glossary_Sanskrit_Terms.pdf,12
Amanaskata,State of being mindless.,Glossary_Sanskrit_Terms.pdf,12
Amanava,Not a man.,Glossary_Sanskrit_Terms.pdf,12
Amara,Immortal; deathless.,Glossary_Sanskrit_Terms.pdf,12
Amara-purusha,"Immortal person like Vyasa, Narada etc.; one who has no death.",Glossary_Sanskrit_Terms.pdf,13
Amarsha,The emotion of anger and jealousy combined.,Glossary_Sanskrit_Terms.pdf,13
Amatra,Having no measure or sign.,Glossary_Sanskrit_Terms.pdf,13
Amhara,Sky; ether; cloth; garment.,Glossary_Sanskrit_Terms.pdf,13
Amrita (sya)-putrah,Nectar’s son.,Glossary_Sanskrit_Terms.pdf,13
Amrita,Nectar.,Glossary_Sanskrit_Terms.pdf,13
Amritam,Immortality.,Glossary_Sanskrit_Terms.pdf,13
Amrita-nadi,A special psychic nerve branching from the heart.,Glossary_Sanskrit_Terms.pdf,13
Amritattva,Deathlessness; immortality.,Glossary_Sanskrit_Terms.pdf,13
Amsa,Part.,Glossary_Sanskrit_Terms.pdf,13
Amukhya karana,Subordinate cause; minor cause; not principal cause.,Glossary_Sanskrit_Terms.pdf,13
Amurta,"Without form. (Amurta-elements: elements without form, viz., air and ether.)",Glossary_Sanskrit_Terms.pdf,13
Anabhidya,"Not coveting others’ goods; not thinking vain thoughts, and not brooding over injuries received from another.",Glossary_Sanskrit_Terms.pdf,13
Anadi,Beginningless.,Glossary_Sanskrit_Terms.pdf,13
Anadi-ananta,Without beginning and end; Infinite; This is Brahman.,Glossary_Sanskrit_Terms.pdf,13
Anadi-kala,Eternity; beginningless time.,Glossary_Sanskrit_Terms.pdf,13
Anadi-pravaha-satta,"Beginningless flow; everlastingness; beginningless, but terminable.",Glossary_Sanskrit_Terms.pdf,13
Anadi-samskara,Beginningless impression.,Glossary_Sanskrit_Terms.pdf,13
Anadi-santa,Beginningless and terminable; Maya which terminates after the attainment of Brahma-Jnana.,Glossary_Sanskrit_Terms.pdf,13
Anagata,Belonging to the future.,Glossary_Sanskrit_Terms.pdf,13
Anaham,‘Not-I’; non-ego.,Glossary_Sanskrit_Terms.pdf,13
Anahata dhvani,Mystic sounds heard by Yogis. Anamaya: Without disease (Brahman).,Glossary_Sanskrit_Terms.pdf,14
Anahata,"The fourth lotus of the Yogis, opposite the heart; mystic sounds heard by the Yogis.",Glossary_Sanskrit_Terms.pdf,14
Ananda Abhava,Absence of spiritual bliss.,Glossary_Sanskrit_Terms.pdf,14
Ananda Ghana,Mass of bliss.,Glossary_Sanskrit_Terms.pdf,14
Ananda pada,Blissful seat.,Glossary_Sanskrit_Terms.pdf,14
Ananda sagara,Ocean of Bliss.,Glossary_Sanskrit_Terms.pdf,14
Ananda svarupa,Of the essential nature of bliss.,Glossary_Sanskrit_Terms.pdf,14
Ananda valli,A portion of the Taittiriya Upanishad.,Glossary_Sanskrit_Terms.pdf,14
Andolana,Swinging; revolving.,Glossary_Sanskrit_Terms.pdf,14
Ananda,Bliss; happiness; joy.,Glossary_Sanskrit_Terms.pdf,14
Anandamaya Kosa,"Blissful sheath or Karana Sarira, the seed body which contains Mula Ajnana or the potentialities.",Glossary_Sanskrit_Terms.pdf,14
Anandamaya,Full of bliss.,Glossary_Sanskrit_Terms.pdf,14
Ananta,"Infinite; endless; the name of Sesha, the chief god of the serpent-world.",Glossary_Sanskrit_Terms.pdf,14
Ananta-amatra,Infinite and Immeasurable.,Glossary_Sanskrit_Terms.pdf,14
Ananta-ananda,Infinite bliss.,Glossary_Sanskrit_Terms.pdf,14
Anantatvat,Because of being Infinite or endless.,Glossary_Sanskrit_Terms.pdf,14
Ananta-drishti,Unlimited vision.,Glossary_Sanskrit_Terms.pdf,14
Ananta-jyoti,Infinite Light.,Glossary_Sanskrit_Terms.pdf,14
Ananta-matra,Having infinite signs; absolute.,Glossary_Sanskrit_Terms.pdf,14
Ananya Bhakti,"Exclusive devotion to any single aspect of the Lord. Just as you see, through Vichara, the one essence (wood) in a chair, table, bench, door, stick, etc., you see Lord Narayana in all forms. This is Ananya Bhakti. When the meditator and the object of meditation become one, it is Ananya Bhakti. When you meditate on Lord Krishna as the",Glossary_Sanskrit_Terms.pdf,14
Ananyata,Single-mindedness.,Glossary_Sanskrit_Terms.pdf,15
Anarabdha-karya,Works which have not yet begun to produce their effects.,Glossary_Sanskrit_Terms.pdf,15
Anartha,Evil; wrong; object of aversion.,Glossary_Sanskrit_Terms.pdf,15
Anasakti,Non-attachment; dispassion; Vairagya.,Glossary_Sanskrit_Terms.pdf,15
Anasrama,Not belonging to any one of the four orders of life.,Glossary_Sanskrit_Terms.pdf,15
Anatma,Not-Self; insentient. Anavacchinna-chaitanya: Undivideded consciousness which is the Real Self.,Glossary_Sanskrit_Terms.pdf,15
Anavacchinnam,Unlimited.,Glossary_Sanskrit_Terms.pdf,15
Anavadhana,Non-attention.,Glossary_Sanskrit_Terms.pdf,15
Anavasada,Cheerfulness; non-dejection.,Glossary_Sanskrit_Terms.pdf,15
Anavastha,Fallacy arising from the absence of finality or conclusion.,Glossary_Sanskrit_Terms.pdf,15
Anavastha-dosha,Regressus ad infinitum.,Glossary_Sanskrit_Terms.pdf,15
Anavasthitva,Instability.,Glossary_Sanskrit_Terms.pdf,15
Andaja,Egg-born; oviparous.,Glossary_Sanskrit_Terms.pdf,15
Aneka,Not one; many.,Glossary_Sanskrit_Terms.pdf,15
Anga,Subordinate member; limb; step.,Glossary_Sanskrit_Terms.pdf,15
Angirasa,Brihaspati or the divine preceptor; the commander or the lord of wisdom.,Glossary_Sanskrit_Terms.pdf,15
Angushtha-matra,Of the size of the thumb.,Glossary_Sanskrit_Terms.pdf,15
Anima,"Subtlety; the power of making the body subtle; reducing the physical mass and density at will, one of the eight Siddhis.",Glossary_Sanskrit_Terms.pdf,15
Anirdesya,Indescribable; indefinable.,Glossary_Sanskrit_Terms.pdf,15
Anirvachaniya,Indescribable; inexpressible; neither existence nor non-existence.,Glossary_Sanskrit_Terms.pdf,16
Anirvachaniya-satta,Inscrutable being (Maya).,Glossary_Sanskrit_Terms.pdf,16
Anisa,"Not Lord; not master of but subject to, nature; impotent.",Glossary_Sanskrit_Terms.pdf,16
Anisata,Impotence.,Glossary_Sanskrit_Terms.pdf,16
Anishta,Undesired; bad.,Glossary_Sanskrit_Terms.pdf,16
Anitya,Impermanent.,Glossary_Sanskrit_Terms.pdf,16
Annam,Matter; food.,Glossary_Sanskrit_Terms.pdf,16
Annamaya kosa,Food-sheath; gross physical body.,Glossary_Sanskrit_Terms.pdf,16
Anrita,Falsehood or untruth.,Glossary_Sanskrit_Terms.pdf,16
Anta,End.,Glossary_Sanskrit_Terms.pdf,16
Antahkarana,"Internal instrument; fourfold mind; mind, intellect, ego and subconscious mind.",Glossary_Sanskrit_Terms.pdf,16
Antahkarana-chatushtaya,"The mind in its four aspects, viz., Manas, Buddhi, Chitta and Ahamkara; fourfold internal organ.",Glossary_Sanskrit_Terms.pdf,16
Antahkarana-pratibimba-chaitanya,Reflection of the intelligence in the mind.,Glossary_Sanskrit_Terms.pdf,16
Antahkarana-sastra,"Psychology; science of the internal organ, viz., mind, intelligence and ego.",Glossary_Sanskrit_Terms.pdf,16
Antahkarana-vyapara,Thought-construction; working of the mind.,Glossary_Sanskrit_Terms.pdf,16
Antah-prajna,Inner subjective consciousness.,Glossary_Sanskrit_Terms.pdf,16
Antar,Internal; middle; interspace.,Glossary_Sanskrit_Terms.pdf,16
Antaranga,Internal organ; mind.,Glossary_Sanskrit_Terms.pdf,16
Antaratma,The indwelling Self; inner soul.,Glossary_Sanskrit_Terms.pdf,16
Antardhauti,Inward cleaning.,Glossary_Sanskrit_Terms.pdf,16
Antar-drishti,Inner vision.,Glossary_Sanskrit_Terms.pdf,16
Antargata,Hidden; immanent.,Glossary_Sanskrit_Terms.pdf,16
Antarika prema,"Whole-hearted, inward, divine love.",Glossary_Sanskrit_Terms.pdf,17
Antarika,Inward; whole-hearted.,Glossary_Sanskrit_Terms.pdf,17
Antariksha,Firmament; sky.,Glossary_Sanskrit_Terms.pdf,17
Antarjyoti,Inner Light.,Glossary_Sanskrit_Terms.pdf,17
Antarlakshya,Introvision.,Glossary_Sanskrit_Terms.pdf,17
Antarmukha,Introspective; gaze turned inwards.,Glossary_Sanskrit_Terms.pdf,17
Antarmukha-vritti,A state in which the mind is turned inwards and is withdrawn from objects.,Glossary_Sanskrit_Terms.pdf,17
Antarvaha-sarira,The subtle body of a Yogi by which he accomplishes entry into the bodies of others.,Glossary_Sanskrit_Terms.pdf,17
Antarveshtini,This is an important Nadi which is very delicate. In this Nadi there is the pure and resplendent Sakti called the Kundalini.,Glossary_Sanskrit_Terms.pdf,17
Antaryamana,Ruling within.,Glossary_Sanskrit_Terms.pdf,17
